id,species_id,height,weight,base_experience,order,is_default,name,sprites
143,143,21,4600,189,217,1,snorlax,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/snorlax.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/snorlax.gif""}"
144,144,17,554,261,218,1,articuno,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/articuno.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/articuno.gif""}"
145,145,16,526,261,219,1,zapdos,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/zapdos.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/zapdos.gif""}"
146,146,20,600,261,220,1,moltres,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/moltres.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/moltres.gif""}"
147,147,18,33,60,221,1,dratini,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/dratini.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/dratini.gif""}"
148,148,40,165,147,222,1,dragonair,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/dragonair.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/dragonair.gif""}"
149,149,22,2100,270,223,1,dragonite,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/dragonite.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/dragonite.gif""}"
150,150,20,1220,306,224,1,mewtwo,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/mewtwo.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/mewtwo.gif""}"
151,151,4,40,270,227,1,mew,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/mew.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/mew.gif""}"
152,152,9,64,64,228,1,chikorita,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/chikorita.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/chikorita.gif""}"
153,153,12,158,142,229,1,bayleef,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/bayleef.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/bayleef.gif""}"
154,154,18,1005,236,230,1,meganium,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/meganium.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/meganium.gif""}"
155,155,5,79,62,231,1,cyndaquil,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/cyndaquil.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/cyndaquil.gif""}"
156,156,9,190,142,232,1,quilava,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/quilava.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/quilava.gif""}"
157,157,17,795,240,233,1,typhlosion,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/typhlosion.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/typhlosion.gif""}"
158,158,6,95,63,234,1,totodile,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/totodile.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/totodile.gif""}"
159,159,11,250,142,235,1,croconaw,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/croconaw.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/croconaw.gif""}"
160,160,23,888,239,236,1,feraligatr,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/feraligatr.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/feraligatr.gif""}"
161,161,8,60,43,237,1,sentret,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/sentret.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/sentret.gif""}"
162,162,18,325,145,238,1,furret,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/furret.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/furret.gif""}"
163,163,7,212,52,239,1,hoothoot,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/hoothoot.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/hoothoot.gif""}"
164,164,16,408,158,240,1,noctowl,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/noctowl.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/noctowl.gif""}"
165,165,10,108,53,241,1,ledyba,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/ledyba.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/ledyba.gif""}"
166,166,14,356,137,242,1,ledian,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/ledian.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/ledian.gif""}"
167,167,5,85,50,243,1,spinarak,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/spinarak.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/spinarak.gif""}"
168,168,11,335,140,244,1,ariados,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/ariados.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/ariados.gif""}"
169,169,18,750,241,67,1,crobat,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/crobat.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/crobat.gif""}"
170,170,5,120,66,245,1,chinchou,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/chinchou.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/chinchou.gif""}"
171,171,12,225,161,246,1,lanturn,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/lanturn.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/lanturn.gif""}"
172,172,3,20,41,34,1,pichu,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/pichu.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/pichu.gif""}"
173,173,3,30,44,55,1,cleffa,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/cleffa.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/cleffa.gif""}"
174,174,3,10,42,62,1,igglybuff,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/igglybuff.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/igglybuff.gif""}"
175,175,3,15,49,247,1,togepi,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/togepi.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/togepi.gif""}"
176,176,6,32,142,248,1,togetic,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/togetic.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/togetic.gif""}"
177,177,2,20,64,250,1,natu,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/natu.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/natu.gif""}"
178,178,15,150,165,251,1,xatu,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/xatu.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/xatu.gif""}"
179,179,6,78,56,252,1,mareep,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/mareep.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/mareep.gif""}"
180,180,8,133,128,253,1,flaaffy,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/flaaffy.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/flaaffy.gif""}"
181,181,14,615,230,254,1,ampharos,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/ampharos.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/ampharos.gif""}"
182,182,4,58,221,71,1,bellossom,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/bellossom.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/bellossom.gif""}"
183,183,4,85,88,257,1,marill,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/marill.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/marill.gif""}"
184,184,8,285,189,258,1,azumarill,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/azumarill.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/azumarill.gif""}"
185,185,12,380,144,260,1,sudowoodo,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/sudowoodo.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/sudowoodo.gif""}"
186,186,11,339,225,93,1,politoed,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/politoed.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/politoed.gif""}"
187,187,4,5,50,261,1,hoppip,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/hoppip.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/hoppip.gif""}"
188,188,6,10,119,262,1,skiploom,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/skiploom.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/skiploom.gif""}"
189,189,8,30,207,263,1,jumpluff,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/jumpluff.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/jumpluff.gif""}"
190,190,8,115,72,264,1,aipom,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/aipom.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/aipom.gif""}"
191,191,3,18,36,266,1,sunkern,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/sunkern.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/sunkern.gif""}"
192,192,8,85,149,267,1,sunflora,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/sunflora.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/sunflora.gif""}"
193,193,12,380,78,268,1,yanma,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/yanma.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/yanma.gif""}"
194,194,4,85,42,270,1,wooper,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/wooper.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/wooper.gif""}"
195,195,14,750,151,271,1,quagsire,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/quagsire.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/quagsire.gif""}"
196,196,9,265,184,202,1,espeon,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/espeon.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/espeon.gif""}"
197,197,10,270,184,203,1,umbreon,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/umbreon.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/umbreon.gif""}"
198,198,5,21,81,272,1,murkrow,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/murkrow.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/murkrow.gif""}"
199,199,20,795,172,117,1,slowking,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/slowking.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/slowking.gif""}"
200,200,7,10,87,274,1,misdreavus,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/misdreavus.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/misdreavus.gif""}"
201,201,5,50,118,276,1,unown,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/unown.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/unown.gif""}"
202,202,13,285,142,278,1,wobbuffet,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/wobbuffet.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/wobbuffet.gif""}"
203,203,15,415,159,279,1,girafarig,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/girafarig.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/girafarig.gif""}"
204,204,6,72,58,280,1,pineco,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/pineco.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/pineco.gif""}"
205,205,12,1258,163,281,1,forretress,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/forretress.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/forretress.gif""}"
206,206,15,140,145,282,1,dunsparce,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/dunsparce.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/dunsparce.gif""}"
207,207,11,648,86,283,1,gligar,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/gligar.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/gligar.gif""}"
208,208,92,4000,179,137,1,steelix,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/steelix.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/steelix.gif""}"
209,209,6,78,60,285,1,snubbull,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/snubbull.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/snubbull.gif""}"
210,210,14,487,158,286,1,granbull,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/granbull.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/granbull.gif""}"
211,211,5,39,88,287,1,qwilfish,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/qwilfish.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/qwilfish.gif""}"
212,212,18,1180,175,180,1,scizor,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/scizor.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/scizor.gif""}"
213,213,6,205,177,288,1,shuckle,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/shuckle.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/shuckle.gif""}"
214,214,15,540,175,289,1,heracross,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/heracross.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/heracross.gif""}"
215,215,9,280,86,291,1,sneasel,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/sneasel.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/sneasel.gif""}"
216,216,6,88,66,293,1,teddiursa,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/teddiursa.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/teddiursa.gif""}"
217,217,18,1258,175,294,1,ursaring,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/ursaring.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/ursaring.gif""}"
218,218,7,350,50,295,1,slugma,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/slugma.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/slugma.gif""}"
219,219,8,550,151,296,1,magcargo,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/magcargo.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/magcargo.gif""}"
220,220,4,65,50,297,1,swinub,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/swinub.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/swinub.gif""}"
221,221,11,558,158,298,1,piloswine,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/piloswine.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/piloswine.gif""}"
222,222,6,50,144,300,1,corsola,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/corsola.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/corsola.gif""}"
223,223,6,120,60,301,1,remoraid,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/remoraid.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/remoraid.gif""}"
224,224,9,285,168,302,1,octillery,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/octillery.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/octillery.gif""}"
225,225,9,160,116,303,1,delibird,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/delibird.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/delibird.gif""}"
226,226,21,2200,170,305,1,mantine,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/mantine.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/mantine.gif""}"
227,227,17,505,163,306,1,skarmory,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/skarmory.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/skarmory.gif""}"
228,228,6,108,66,307,1,houndour,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/houndour.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/houndour.gif""}"
229,229,14,350,175,308,1,houndoom,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/houndoom.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/houndoom.gif""}"
230,230,18,1520,243,172,1,kingdra,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/kingdra.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/kingdra.gif""}"
231,231,5,335,66,310,1,phanpy,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/phanpy.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/phanpy.gif""}"
232,232,11,1200,175,311,1,donphan,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/donphan.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/donphan.gif""}"
233,233,6,325,180,208,1,porygon2,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/porygon2.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/porygon2.gif""}"
234,234,14,712,163,312,1,stantler,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/stantler.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/stantler.gif""}"
235,235,12,580,88,313,1,smeargle,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/smeargle.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/smeargle.gif""}"
236,236,7,210,42,152,1,tyrogue,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/tyrogue.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/tyrogue.gif""}"
237,237,14,480,159,155,1,hitmontop,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/hitmontop.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/hitmontop.gif""}"
238,238,4,60,61,182,1,smoochum,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/smoochum.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/smoochum.gif""}"
239,239,6,235,72,184,1,elekid,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/elekid.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/elekid.gif""}"
240,240,7,214,73,187,1,magby,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/magby.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/magby.gif""}"
241,241,12,755,172,314,1,miltank,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/miltank.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/miltank.gif""}"
242,242,15,468,608,165,1,blissey,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/blissey.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/blissey.gif""}"
243,243,19,1780,261,315,1,raikou,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/raikou.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/raikou.gif""}"
244,244,21,1980,261,316,1,entei,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/entei.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/entei.gif""}"
245,245,20,1870,261,317,1,suicune,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/suicune.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/suicune.gif""}"
246,246,6,720,60,318,1,larvitar,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/larvitar.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/larvitar.gif""}"
247,247,12,1520,144,319,1,pupitar,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/pupitar.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/pupitar.gif""}"
248,248,20,2020,270,320,1,tyranitar,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/tyranitar.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/tyranitar.gif""}"
249,249,52,2160,306,322,1,lugia,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/lugia.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/lugia.gif""}"
250,250,38,1990,306,323,1,ho-oh,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/ho-oh.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/ho-oh.gif""}"
251,251,6,50,270,324,1,celebi,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/celebi.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/celebi.gif""}"
252,252,5,50,62,325,1,treecko,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/treecko.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/treecko.gif""}"
253,253,9,216,142,326,1,grovyle,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/grovyle.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/grovyle.gif""}"
254,254,17,522,239,327,1,sceptile,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/sceptile.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/sceptile.gif""}"
255,255,4,25,62,329,1,torchic,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/torchic.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/torchic.gif""}"
256,256,9,195,142,330,1,combusken,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/combusken.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/combusken.gif""}"
257,257,19,520,239,331,1,blaziken,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/blaziken.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/blaziken.gif""}"
258,258,4,76,62,333,1,mudkip,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/mudkip.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/mudkip.gif""}"
259,259,7,280,142,334,1,marshtomp,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/marshtomp.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/marshtomp.gif""}"
260,260,15,819,241,335,1,swampert,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/swampert.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/swampert.gif""}"
261,261,5,136,56,337,1,poochyena,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/poochyena.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/poochyena.gif""}"
262,262,10,370,147,338,1,mightyena,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/mightyena.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/mightyena.gif""}"
263,263,4,175,56,339,1,zigzagoon,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/zigzagoon.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/zigzagoon.gif""}"
264,264,5,325,147,340,1,linoone,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/linoone.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/linoone.gif""}"
265,265,3,36,56,341,1,wurmple,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/wurmple.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/wurmple.gif""}"
266,266,6,100,72,342,1,silcoon,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/silcoon.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/silcoon.gif""}"
267,267,10,284,178,343,1,beautifly,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/beautifly.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/beautifly.gif""}"
268,268,7,115,72,344,1,cascoon,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/cascoon.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/cascoon.gif""}"
269,269,12,316,173,345,1,dustox,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/dustox.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/dustox.gif""}"
270,270,5,26,44,346,1,lotad,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/lotad.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/lotad.gif""}"
271,271,12,325,119,347,1,lombre,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/lombre.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/lombre.gif""}"
272,272,15,550,216,348,1,ludicolo,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/ludicolo.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/ludicolo.gif""}"
273,273,5,40,44,349,1,seedot,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/seedot.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/seedot.gif""}"
274,274,10,280,119,350,1,nuzleaf,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/nuzleaf.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/nuzleaf.gif""}"
275,275,13,596,216,351,1,shiftry,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/shiftry.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/shiftry.gif""}"
276,276,3,23,54,352,1,taillow,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/taillow.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/taillow.gif""}"
277,277,7,198,159,353,1,swellow,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/swellow.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/swellow.gif""}"
278,278,6,95,54,354,1,wingull,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/wingull.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/wingull.gif""}"
279,279,12,280,154,355,1,pelipper,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/pelipper.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/pelipper.gif""}"
280,280,4,66,40,356,1,ralts,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/ralts.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/ralts.gif""}"
281,281,8,202,97,357,1,kirlia,"{""normal"":""http://img.pokemondb.net/sprites/black-white/normal/kirlia.png"",""animated"":""http://img.pokemondb.net/sprites/black-white/anim/normal/kirlia.gif""}"
